player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label
00-0036554,Nico Collins,HOU,WR,WR,2025,2026,122,7,7.079729911687185,0.0797299116871848,0.3778173885227936,18.738496762596903,0.07389343467335506,0.0,0.07389343467335506,1.3846518864038295,1.4643817980910143,8.464381798091015,Neutral
00-0036894,Pat Freiermuth,PIT,TE,TE,2025,2026,54,4,2.8479180919827787,-1.1520819080172213,0.2525295441958832,11.277563981874902,0.23625637415481876,0.006182122892311507,0.23007425126250725,2.594677089194888,1.4425951811776665,5.4425951811776665,Neutral
00-0035659,Terry McLaurin,WAS,WR,WR,2025,2026,60,3,2.882274131692125,-0.11772586830787501,0.21519447649132975,13.393810931798022,0.22653214043166564,0.11016819874707419,0.11636394168459145,1.5585566342021886,1.4408307658943136,4.440830765894313,Neutral
00-0037545,Rashid Shaheed,SEA,WR,WR,2025,2026,101,2,3.377779452138366,1.3777794521383662,0.21335007864853364,15.83209846246561,0.0006931701982074783,0.0,0.0006931701982074783,0.0109743388292676,1.3887537909676337,3.388753790967634,Neutral
00-0038685,Chris Brooks,GB,RB,RB,2025,2026,44,0,1.0421074208147034,1.0421074208147034,0.05403093045340469,19.287238107317037,0.016161602568526896,0.0,0.016161602568526896,0.3117126769350049,1.3538200977497084,1.3538200977497084,Neutral
00-0040164,Jaylin Lane,WAS,WR,WR,2025,2026,33,0,0.8568329442204494,0.8568329442204494,0.06397230396811536,13.393810931798022,0.06734272729730675,0.032750438639402205,0.03459228865790455,0.4633225739821547,1.3201555182026041,1.3201555182026041,Neutral
00-0036637,Noah Gray,KC,TE,TE,2025,2026,37,0,1.249733270993098,1.249733270993098,0.18102083553020354,6.903808986035635,0.0023188650024057143,0.0,0.0023188650024057143,0.016009001041012116,1.26574227203411,1.26574227203411,Neutral
00-0040727,Tre Harris,LAC,WR,WR,2025,2026,45,1,1.529366218294921,0.529366218294921,0.08256242371794499,18.523756321878817,0.03952413095389964,0.0,0.03952413095389964,0.7321353706240646,1.2615015889189856,2.2615015889189856,Neutral
00-0040162,Dylan Sampson,CLE,RB,RB,2025,2026,105,2,2.606393168551809,0.6063931685518091,0.1579374793468608,16.502689414383227,0.039380652843387966,0.0,0.039380652843387966,0.6498866828100793,1.2562798513618885,3.2562798513618887,Neutral
00-0040735,Luther Burden III,CHI,WR,WR,2025,2026,66,2,1.6151553703209711,-0.3848446296790289,0.09292348016837709,17.381563490673337,0.11217763973627354,0.019744305814628355,0.09243333392164518,1.6066358622136852,1.2217912325346563,3.221791232534656,Neutral
